"len","sort1","sort2","sorted","sort"
96,"0,000281663202622","0,000135904600029","0,006649197894149","0,002050200419035"
97,"0,000420150601713","0,000197354397096","0,007697001274209","0,002123000740539"
98,"0,00043840839935","0,000206929598062","0,007644800643902","0,00186639954336"
99,"0,000479356598225","0,000221552599396","0,005839200457558","0,001410400727764"
100,"0,000353096600156","0,000142513398896","0,005440598761197","0,001433800207451"
101,"0,000332798800082","0,000172855598794","0,006596000457648","0,001768398215063"
102,"0,000387480798236","0,000153249799041","0,005491601768881","0,00131379783852"
103,"0,000309794199711","0,000142292201053","0,007048400584608","0,001829999382608"
104,"0,000336840600357","0,000145087797137","0,005925600999035","0,001381599577144"
105,"0,000336743402295","0,000149280800542","0,005799398059025","0,001450399577152"
106,"0,000397548600449","0,00019936819881","0,006205200043041","0,001517201599199"
107,"0,000391616602428","0,000255341199227","0,008399999933317","0,002105598105118"
108,"0,000564738601679","0,000279411800148","0,009308397420682","0,002684198261704"
109,"0,000521167600527","0,00015425960155","0,00661800004309","0,001537002390251"
110,"0,00036659459729","0,000156428199261","0,005787800182588","0,001506599073764"
111,"0,000362391398812","0,000155774598534","0,007632200140506","0,003145600203425"
112,"0,000375263000024","0,00016621699906","0,005659002636094","0,001429201802239"
113,"0,000373614400451","0,000162423800793","0,005756998143625","0,001492799492553"
114,"0,000455530601903","0,000293762999354","0,009930798842106","0,002954000956379"
115,"0,000661482599389","0,000239184798556","0,008551400969736","0,001870398409665"
116,"0,000619953799469","0,00023178299889","0,006819800182711","0,001611799234524"
117,"0,000600265599496","0,000254487599886","0,007070800347719","0,001648800389376"
118,"0,000496696600749","0,000217077600246","0,012146201333962","0,00314740173053"
119,"0,000687092999578","0,000277635199018","0,006821998977102","0,001702598819975"
120,"0,000421222999285","0,000186829798622","0,00637360062683","0,001637201057747"
121,"0,000444798200624","0,000197327198111","0,006875600956846","0,001634999352973"
122,"0,000450186200032","0,000216946400178","0,00895359844435","0,002710000262596"
123,"0,000454156998603","0,000196623998636","0,006902001041453","0,001660599082243"
124,"0,000450283198734","0,00019318919949","0,006339000537992","0,001696401159279"
125,"0,000459455799137","0,000203006199445","0,006626997492276","0,001643599534873"
126,"0,000456473596569","0,000227929199173","0,007467198884115","0,001780998718459"
127,"0,000548143799824","0,00033861240081","0,008956200326793","0,001860602060333"
128,"0,000586396800645","0,000247933200444","0,008692800474819","0,001862598583102"
129,"0,000558426999487","0,000212325599568","0,010363997716922","0,001720800355542"
130,"0,000484217799385","0,000203034598962","0,006322198896669","0,001595000503585"
131,"0,000465510398499","0,000230019200535","0,006333601777442","0,001552799949422"
132,"0,00049027280038","0,00021171339904","0,006247201235965","0,005254600546323"
133,"0,000484071999381","0,000202012399677","0,006613800360356","0,001593001070432"
134,"0,000488410799881","0,000219646199548","0,006187800318003","0,001603396958672"
135,"0,000505942197924","0,000209030599217","0,006334799400065","0,001634198997635"
136,"0,000518331197964","0,000213042799442","0,006564798241016","0,001652198261581"
137,"0,000517511399812","0,000212051998824","0,006833400402684","0,001675600651652"
138,"0,000519203401927","0,000216569598706","0,006565198418684","0,001650399644859"
139,"0,000652330799494","0,000225586800661","0,007547199493274","0,001799598976504"
140,"0,000533222999366","0,000233945601212","0,006683402170893","0,001704800524749"
